epoch,accuracy,learning_rate,loss,precision,recall,top3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top3_accuracy
16,0.9508641958236694,9.999999747378752e-05,0.1445237398147583,0.959498941898346,0.9436517357826233,0.9954904317855835,0.9816184639930725,0.05775636434555054,0.9838230013847351,0.9794559478759766,0.9993171095848083
17,0.9519311189651489,9.999999747378752e-05,0.1412852257490158,0.959749162197113,0.945017397403717,0.9958318471908569,0.9824721217155457,0.0551438182592392,0.9847895503044128,0.9800819754600525,0.9992601871490479
18,0.9529269337654114,9.999999747378752e-05,0.13769923150539398,0.9612177014350891,0.9459847807884216,0.9954904317855835,0.9829843044281006,0.05204501003026962,0.985196590423584,0.9809355735778809,0.9993171095848083
19,0.9548189640045166,9.999999747378752e-05,0.13373932242393494,0.9627410769462585,0.9487303495407104,0.996159017086029,0.983837902545929,0.05140499025583267,0.9862238764762878,0.9818460941314697,0.9993171095848083
20,0.9546482563018799,9.999999747378752e-05,0.1329406499862671,0.962694525718689,0.9486023187637329,0.9959883093833923,0.9842932224273682,0.049529802054166794,0.9863436222076416,0.9823582768440247,0.9994878172874451
21,0.955814778804779,9.999999747378752e-05,0.12888559699058533,0.9630805850028992,0.9492567181587219,0.99627286195755,0.985089898109436,0.04794863238930702,0.987088680267334,0.9832688570022583,0.9994308948516846
22,0.9570666551589966,9.999999747378752e-05,0.12549513578414917,0.9645813703536987,0.9515043497085571,0.9960736632347107,0.9848053455352783,0.04899115860462189,0.987088680267334,0.9832688570022583,0.9992601871490479
23,0.9567821621894836,9.999999747378752e-05,0.12559093534946442,0.9635318517684937,0.9513052105903625,0.9964150786399841,0.9838948249816895,0.049909405410289764,0.9856595993041992,0.981789231300354,0.9993740320205688
24,0.9591578245162964,9.999999747378752e-05,0.12061754614114761,0.9656678438186646,0.9531118869781494,0.9966000318527222,0.983837902545929,0.04886913672089577,0.9863467812538147,0.9825859069824219,0.9994308948516846
25,0.959186315536499,9.999999747378752e-05,0.11882125586271286,0.9658909440040588,0.9535244107246399,0.996671199798584,0.9847484827041626,0.04778647422790527,0.9871347546577454,0.9824721217155457,0.9996016621589661
26,0.9598406553268433,9.999999747378752e-05,0.11663329601287842,0.966011643409729,0.9546055793762207,0.9969556927680969,0.9849761128425598,0.046646103262901306,0.9870278239250183,0.9829273819923401,0.9994308948516846
27,0.9603954553604126,9.999999747378752e-05,0.11652595549821854,0.9657886028289795,0.9549896717071533,0.9971121549606323,0.9847484827041626,0.04695199057459831,0.9862395524978638,0.9829843044281006,0.9996585249900818
28,0.9586599469184875,9.999999747378752e-05,0.11829832941293716,0.9645622968673706,0.9532968401908875,0.9969983696937561,0.9862281084060669,0.04360922425985336,0.9875050187110901,0.9849761128425598,0.9993740320205688
29,0.962330162525177,9.999999747378752e-05,0.11307946592569351,0.9676162004470825,0.9572373628616333,0.9970552921295166,0.9853175282478333,0.04496130347251892,0.9872651696205139,0.983837902545929,0.9994878172874451
